"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"dre04371","Environmental Information Processing","Signal transduction","dre04371","Apelin signaling pathway","52/2190","195/12020",0.266666666666667,1.46362252663623,3.08078028562571,0.00210095894407841,0.00681820638455633,0.00333816714054166,"326283/562585/794669/192322/327650/560578/794575/100332205/445028/393946/406660/100007047/360144/140421/336121/30564/100148976/368217/58092/565492/557499/30498/337838/117509/792928/117508/321449/436905/322509/100333455/335232/58066/324254/100136840/557109/564088/572074/571106/100151181/399480/561350/100149388/559111/571825/100003596/568877/327379/100333702/30222/796780/406796/492811",52
"dre01240","Metabolism","Global and overview maps","dre01240","Biosynthesis of cofactors","54/2190","205/12020",0.263414634146341,1.44577347143334,3.03846160696954,0.00233712032104927,0.00744416102260137,0.00364463207960899,"445486/58215/554136/321793/334420/407663/322506/541347/326857/541539/405814/402868/445097/436597/406383/393528/323653/322089/613246/570913/415208/447802/406624/368229/334195/323329/260441/447838/445287/494176/337412/494065/799805/406404/562037/562714/559504/678634/557077/557552/664765/436893/100192219/103911725/555470/791210/445245/403070/100004977/64263/30085/30083/100144628/100137123",54
"dre01230","Metabolism","Global and overview maps","dre01230","Biosynthesis of amino acids","28/2190","91/12020",0.307692307692308,1.6887952230418,3.11306557879806,0.00249943524885516,0.00775805534476768,0.00379831351029017,"323107/541347/378962/334116/100006589/568448/560944/393926/393423/378963/322614/334195/323329/560753/406688/337412/550524/321664/407673/678634/557186/335817/100000775/336473/447864/322339/100144628/378847",28
"dre00983","Metabolism","Xenobiotics biodegradation and metabolism","dre00983","Drug metabolism - other enzymes","32/2190","108/12020",0.296296296296296,1.62624725181803,3.08563700697103,0.00252587848434296,0.00775805534476768,0.00379831351029017,"100005763/393556/406383/431762/436894/327057/573111/571365/449784/570913/492500/567275/368909/100124622/431724/563972/324366/564619/437016/436842/557834/723997/568744/406703/791210/30085/327590/406736/30083/79381/449835/559958",32
"dre04330","Environmental Information Processing","Signal transduction","dre04330","Notch signaling pathway","26/2190","83/12020",0.313253012048193,1.71931561863894,3.10377625051621,0.00265872700296105,0.00802282534226844,0.00392794386402372,"30206/569863/692064/140421/565013/58065/794892/58066/323630/65229/565612/100144568/402810/58008/322667/570481/567335/100037355/101886283/793927/321852/560657/100330031/559273/30718/555517",26
"dre00280","Metabolism","Amino acid metabolism","dre00280","Valine, leucine and isoleucine degradation","20/2190","59/12020",0.338983050847458,1.86053711013079,3.1274568794572,0.00288204725624343,0.00854676082885983,0.00418446062612476,"368912/431754/394135/569980/450078/334197/394190/323653/445121/406283/554124/394130/553804/337412/798364/793834/100005587/100000859/110437777/394060",20
"dre00900","Metabolism","Metabolism of terpenoids and polyketides","dre00900","Terpenoid backbone biosynthesis","10/2190","22/12020",0.454545454545455,2.49481112494811,3.31224687539576,0.00301093462045786,0.00877763991048731,0.00429749812018963,"492477/436624/550349/323500/406468/552997/559054/492781/394060/550289",10
"dre00980","Metabolism","Xenobiotics biodegradation and metabolism","dre00980","Metabolism of xenobiotics by cytochrome P450","24/2190","76/12020",0.315789473684211,1.73323720259553,3.02660577720276,0.00338588617612278,0.00970620703821864,0.00475212094894425,"393556/337696/431762/436894/402841/571365/449784/570913/492500/567275/100124622/563972/324366/564619/436833/723997/393293/116517/568744/406703/322482/791210/406736/79381",24
"dre04980","Organismal Systems","Digestive system","dre04980","Cobalamin transport and metabolism","9/2190","19/12020",0.473684210526316,2.59985580389329,3.29403636906002,0.00344725909240255,0.00972014039169242,0.0047589426642313,"402886/565206/564853/791455/436726/555267/541344/557077/378847",9
"dre00071","Metabolism","Lipid metabolism","dre00071","Fatty acid degradation","19/2190","56/12020",0.339285714285714,1.86219830397913,3.05240700561438,0.00358955596567862,0.00995812300156004,0.00487545801789965,"368912/431754/334561/334101/334197/402841/556280/323653/445121/393860/406283/793834/100333227/100005587/100000859/110437777/116517/394156/322482",19
"dre00130","Metabolism","Metabolism of cofactors and vitamins","dre00130","Ubiquinone and other terpenoid-quinone biosynthesis","7/2190","13/12020",0.538461538461538,2.95539164032315,3.32941277111736,0.00404957622855885,0.0110559858938432,0.00541296738988652,"322506/447802/445287/559504/561410/436893/100137123",7
"dre04916","Organismal Systems","Endocrine system","dre04916","Melanogenesis","40/2190","148/12020",0.27027027027027,1.48340120942861,2.79290467159774,0.00502839343561915,0.0134432344606243,0.00658175493788217,"30510/30556/569863/30265/58023/30283/192322/338317/393760/30171/327650/393946/406660/324004/360144/336121/100148976/30701/368217/58032/114833/30523/497649/560081/30370/437022/323630/557109/565612/791169/399480/100148840/791855/571825/559273/327379/100333702/30105/568191/557384",40
"dre03030","Genetic Information Processing","Replication and repair","dre03030","DNA replication","14/2190","38/12020",0.368421052631579,2.02211006969478,2.97854573979489,0.00514142108730062,0.0134432344606243,0.00658175493788217,"393196/393241/393774/386707/550274/553610/503748/192323/65226/550504/436932/259256/571834/192333",14
"dre04145","Cellular Processes","Transport and catabolism","dre04145","Phagosome","47/2190","180/12020",0.261111111111111,1.43313039066464,2.76349399107846,0.00515845043256515,0.0134432344606243,0.00658175493788217,"100151255/386787/393945/561901/571317/563556/337572/108179059/393551/406486/436772/192298/335025/386807/114464/192335/368878/791453/795591/406757/57935/386701/403133/406811/100001836/373080/436799/553767/100535241/100007982/322811/556734/566325/571282/100538038/252849/767729/30762/792024/321853/494477/450017/100286774/321315/570216/100332402/103911540",47
"dre04914","Organismal Systems","Endocrine system","dre04914","Progesterone-mediated oocyte maturation","32/2190","114/12020",0.280701754385965,1.54065529119603,2.73759633185993,0.00624804427559759,0.0160397554537729,0.00785300144615566,"65237/65236/57925/445246/550576/327650/403065/393946/565155/245701/360144/100148976/100000252/338219/30681/550258/79079/58025/100330483/30450/280649/557109/100005268/399480/568795/100307076/571825/100149273/445501/569473/100333702/768140",32
"dre03013","Genetic Information Processing","Translation","dre03013","Nucleocytoplasmic transport","31/2190","110/12020",0.281818181818182,1.54678289746783,2.71916054474908,0.00661527116483752,0.0167327447110596,0.0081922862722446,"393125/407710/30707/324743/192325/445035/100529857/503767/327373/327495/393635/559225/436950/436607/445499/100005893/333980/405828/406438/393693/100319138/751738/570945/553494/100317326/558662/558020/445027/571089/335750/570700",31
"dre04060","Environmental Information Processing","Signaling molecules and interaction","dre04060","Cytokine-cytokine receptor interaction","55/2190","220/12020",0.25,1.37214611872146,2.62944019045033,0.0069836462788304,0.0172520834939393,0.00844655250621265,"405785/554167/30615/560578/369195/555655/553816/360134/369194/368438/352944/795469/559725/114447/792928/100134935/559222/654826/566470/560446/553366/58151/572204/561494/30268/797527/791704/751714/798441/567542/795788/798740/571368/100004617/571217/100003167/100134973/794616/799475/100535003/564338/100004224/563152/405770/796370/100192217/100003911/64274/100002946/447846/797669/798119/101884175/101883994/563674",55
"dre00230","Metabolism","Nucleotide metabolism","dre00230","Purine metabolism","44/2190","169/12020",0.260355029585799,1.42898057334306,2.65083651710075,0.00702119677078926,0.0172520834939393,0.00844655250621265,"445486/570437/567051/572027/436652/562399/321793/550560/555911/550533/100148976/368909/321193/100005551/415208/436692/368220/431724/445151/100151215/556849/559488/557834/415192/406404/436595/799942/393906/777719/100005067/571825/415176/393713/791647/406661/791145/322229/751742/100333702/30085/30083/100331745/100330772/560627",44
"dre04912","Organismal Systems","Endocrine system","dre04912","GnRH signaling pathway","36/2190","134/12020",0.26865671641791,1.47454508280515,2.60730285350605,0.00829748968359288,0.0201009609236335,0.00984135173739704,"65237/373882/566945/170581/334571/65236/562585/192322/406660/30554/360144/336121/100148976/368217/30498/793158/30681/335916/100148581/799278/557109/561670/558321/403052/399480/791855/100149388/797938/571825/100149273/567895/100334486/65239/556286/327379/100333702",36
"dre00600","Metabolism","Lipid metabolism","dre00600","Sphingolipid metabolism","23/2190","77/12020",0.298701298701299,1.63944731068019,2.6568857390697,0.00859271170233938,0.0205270335111441,0.0100499552074145,"569930/445250/140811/335485/445168/449649/791197/567548/541416/402799/556193/555206/565295/557680/100003745/100037312/559124/556700/100331179/550529/100000684/793046/568381",23
"dre03015","Genetic Information Processing","Translation","dre03015","mRNA surveillance pathway","28/2190","99/12020",0.282828282828283,1.55232692218994,2.60457538611474,0.00905457223656787,0.0213340606121873,0.0104450725151468,"394092/327263/406685/393593/321614/192325/373881/503767/327069/393856/558752/327495/449548/432372/324267/100005893/553261/492341/324238/569810/394111/393693/321035/570858/565575/751738/571753/406582",28
"dre00510","Metabolism","Glycan biosynthesis and metabolism","dre00510","N-Glycan biosynthesis","20/2190","65/12020",0.307692307692308,1.6887952230418,2.62815806084252,0.00971340763923741,0.0225771096479572,0.0110536644543242,"335985/558524/560717/334161/445202/393782/325561/566539/751635/100333987/101882461/751643/100334730/393742/796295/777616/566527/768123/393239/266797",20
"dre00982","Metabolism","Xenobiotics biodegradation and metabolism","dre00982","Drug metabolism - cytochrome P450","22/2190","74/12020",0.297297297297297,1.63174133037147,2.57290269217465,0.0106274052897951,0.0240514961821678,0.0117755183266427,"393556/431762/436894/402841/571365/449784/570913/492500/567275/100124622/563972/324366/564619/436833/723997/116517/568744/406703/322482/791210/406736/79381",22
"dre03250","Genetic Information Processing","Information processing in viruses","dre03250","Viral life cycle - HIV-1","22/2190","74/12020",0.297297297297297,1.63174133037147,2.57290269217465,0.0106274052897951,0.0240514961821678,0.0117755183266427,"556421/322997/550517/336612/327069/767670/114447/565484/321602/559032/565612/566557/100150512/558638/100317326/100330881/793232/559273/393721/335519/555517/436782",22
"dre03410","Genetic Information Processing","Replication and repair","dre03410","Base excision repair","16/2190","49/12020",0.326530612244898,1.79219084894232,2.62266072127748,0.0108221416839666,0.0241741346706787,0.0118355616502711,"554204/393774/386707/550274/553789/553610/503748/393253/795095/393949/259256/559134/558045/100150674/571834/321622",16
"dre00100","Metabolism","Lipid metabolism","dre00100","Steroid biosynthesis","9/2190","22/12020",0.409090909090909,2.2453300124533,2.75943921860241,0.0110235274759824,0.0243082913572946,0.0119012442385775,"494054/414331/447891/793309/436600/406662/799528/768185/550369",9
"dre04260","Organismal Systems","Circulatory system","dre04260","Cardiac muscle contraction","38/2190","146/12020",0.26027397260274,1.42853568524426,2.45891980115532,0.0116793796385764,0.0254285227574069,0.0124497051443853,"436925/64612/562640/406359/170581/554154/415253/335774/393776/406437/436768/393940/393614/326975/114457/557499/393478/494577/436968/393793/554103/447942/335751/566723/678560/140539/140540/140541/767664/554532/393908/554101/557348/795492/100333064/336118/100535363/563476",38
"dre00590","Metabolism","Lipid metabolism","dre00590","Arachidonic acid metabolism","19/2190","62/12020",0.306451612903226,1.68198556488437,2.54109685473852,0.0120802383184087,0.0259725123845788,0.0127160403351671,"246227/559020/337696/30554/556280/336492/406449/100034406/767759/100148581/559148/406370/799964/352928/322732/751701/352929/415227/767688",19
"dre03266","Genetic Information Processing","Information processing in viruses","dre03266","Virion - Herpesvirus","6/2190","12/12020",0.5,2.74429223744292,2.85334310702381,0.0122979302273895,0.0261141234458148,0.0127853725560905,"557061/386787/100001836/560933/791704/751714",6
"dre00630","Metabolism","Carbohydrate metabolism","dre00630","Glyoxylate and dicarboxylate metabolism","13/2190","38/12020",0.342105263157895,1.87767363614516,2.55764143939124,0.0137216715679098,0.0287820428009816,0.0140915754227572,"568448/792824/393305/553804/497183/541329/100000775/336473/322339/335715/100144628/30068/436852",13
"dre04981",NA,NA,"dre04981","Folate transport and metabolism","11/2190","31/12020",0.354838709677419,1.94756223302401,2.49331170373776,0.0169977033108644,0.0352241562586587,0.0172456089393678,"322228/497434/260441/792084/368620/336147/557552/323301/100144628/100332843/378847",11
"dre04270","Organismal Systems","Circulatory system","dre04270","Vascular smooth muscle contraction","44/2190","178/12020",0.247191011235955,1.356728746601,2.26315889603619,0.0177601275314407,0.0363659754215214,0.0178046391292638,"561431/170581/334571/445393/550561/114550/562585/192322/556502/403065/393783/794575/555911/406660/30554/100536902/360144/562455/336121/100148976/337226/368217/58032/450006/561406/322509/100333455/403114/100148581/436966/557109/406370/405866/570244/399480/569550/100149388/571825/100006041/571753/327379/100333702/571031/100331745",44
"dre00785","Metabolism","Metabolism of cofactors and vitamins","dre00785","Lipoic acid metabolism","8/2190","20/12020",0.4,2.19543378995434,2.52539530235591,0.0189041858609581,0.0382531760951152,0.0187286051873269,"569980/494076/393528/554124/664765/541329/797715/436852",8
"dre00920","Metabolism","Energy metabolism","dre00920","Sulfur metabolism","5/2190","10/12020",0.5,2.74429223744292,2.60451708390403,0.022369301505897,0.044738603011794,0.0219038448038159,"550580/436627/559488/777719/796025",5
"dre04012","Environmental Information Processing","Signal transduction","dre04012","ErbB signaling pathway","29/2190","111/12020",0.261261261261261,1.43395450244765,2.16794123836784,0.0240027543348312,0.0474537212136892,0.0232331560409739,"393141/65236/492364/556277/403065/386966/360144/402862/100000252/100000720/373867/335916/799566/324254/368329/58100/557109/561670/403052/399480/791855/564584/797938/323818/100149273/567895/569836/503869/556286",29
"dre04672","Organismal Systems","Immune system","dre04672","Intestinal immune network for IgA production","13/2190","42/12020",0.30952380952381,1.6988475755599,2.14138334116351,0.0318441090537619,0.06224075860508,0.0304728316303941,"368878/352944/114447/654826/553366/30268/795788/100004261/571282/30762/794616/100331333/103911540",13
"dre04136","Cellular Processes","Transport and catabolism","dre04136","Autophagy - other","11/2190","34/12020",0.323529411764706,1.77571850658071,2.13789287850844,0.0340186962190223,0.0657439971873241,0.0321880035188857,"336632/403036/326974/100000242/100009663/793200/324254/564088/570965/100329702/406582",11
"dre03265","Genetic Information Processing","Information processing in viruses","dre03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","5/2190","11/12020",0.454545454545455,2.49481112494811,2.34103931720309,0.0349629725198285,0.0668181252601168,0.0327138924162138,"553330/572204/560512/100535003/564338",5
"dre04130","Genetic Information Processing","Folding, sorting and degradation","dre04130","SNARE interactions in vesicular transport","13/2190","43/12020",0.302325581395349,1.65933949240735,2.04431944022037,0.0382724304705121,0.0723390993508581,0.0354169397066625,"445167/393159/327007/436605/100001316/393836/114464/394067/405846/323735/641321/325484/449923",13
"dre04514","Environmental Information Processing","Signaling molecules and interaction","dre04514","Cell adhesion molecules","44/2190","190/12020",0.231578947368421,1.27104061523672,1.77745358492621,0.0492862975335866,0.0921439475627924,0.0451133158202166,"282667/791140/494075/405757/799867/100151255/550468/81581/60635/323696/30291/368878/394012/791453/550497/81584/81585/677754/559896/569084/323266/140820/568593/792865/560933/81587/678612/81580/541320/556734/100332721/571282/799432/100002610/100141346/30762/337077/266983/100331333/793240/570216/100330629/100004469/103911540",44
"dre00640","Metabolism","Carbohydrate metabolism","dre00640","Propanoate metabolism","10/2190","32/12020",0.3125,1.71518264840183,1.91204477146336,0.0527954645826926,0.0971671142239706,0.0475726385429477,"368912/406299/569980/554124/553804/436850/798364/793834/556236/100000859",10
"dre00010","Metabolism","Carbohydrate metabolism","dre00010","Glycolysis / Gluconeogenesis","21/2190","81/12020",0.259259259259259,1.42296634534077,1.80278448642654,0.0531029577735653,0.0971671142239706,0.0475726385429477,"323107/378727/563180/334197/335231/334116/402841/560944/323653/378963/560753/799805/321664/436646/566398/557919/100005587/116517/322482/335817/406339",21
"dre00360","Metabolism","Amino acid metabolism","dre00360","Phenylalanine metabolism","6/2190","16/12020",0.375,2.05821917808219,1.99918089122129,0.055405686815188,0.100313454023288,0.0491130741852082,"541429/378962/406688/445287/561410/751093",6
"dre00511","Metabolism","Glycan biosynthesis and metabolism","dre00511","Other glycan degradation","8/2190","24/12020",0.333333333333333,1.82952815829528,1.91998568681724,0.056202249313291,0.100695696686313,0.0493002186958693,"541519/445250/335494/541364/445487/555206/100000684/793046",8
"dre00620","Metabolism","Carbohydrate metabolism","dre00620","Pyruvate metabolism","15/2190","55/12020",0.272727272727273,1.49688667496887,1.74325857346435,0.063464567301983,0.11253510903032,0.055096748607256,"378727/334197/402841/336977/323653/799805/100536873/556236/497183/368213/100005587/116517/322482/335817/335715",15
"dre04920","Organismal Systems","Endocrine system","dre04920","Adipocytokine signaling pathway","24/2190","97/12020",0.247422680412371,1.35800028244598,1.67092105115881,0.0658106024654019,0.115504322694379,0.056550463987456,"406463/323099/405785/65236/334561/378727/563180/541530/30767/335409/58130/436905/335232/324254/572074/100333227/556236/790944/100149273/30530/100329897/415099/565756/794462",24
"dre03272",NA,NA,"dre03272","Virion - Hepatitis viruses","19/2190","74/12020",0.256756756756757,1.40923114895718,1.66668203306332,0.0690888162457474,0.120033094891602,0.0587677331170632,"494075/405757/550468/81581/60635/406737/321461/767670/406454/550497/81584/81585/569084/81587/678612/81580/565429/565888/336426",19
"dre00541","Metabolism","Glycan biosynthesis and metabolism","dre00541","Biosynthesis of various nucleotide sugars","8/2190","25/12020",0.32,1.75634703196347,1.7867774024356,0.0699374000310048,0.120292328053328,0.0588946526576883,"334420/100148292/445097/336553/550486/322780/751641/393857",8
"dre00532","Metabolism","Glycan biosynthesis and metabolism","dre00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","9/2190","30/12020",0.3,1.64657534246575,1.67359218963833,0.0809480792594241,0.137852174580405,0.0674918847394885,"192334/565671/568713/404232/793671/563446/560951/368477/324407",9
"dre00350","Metabolism","Amino acid metabolism","dre00350","Tyrosine metabolism","11/2190","39/12020",0.282051282051282,1.54806228778832,1.61806198559192,0.0840694000421675,0.140387735992746,0.068733285675763,"541429/402841/436754/406688/445287/437022/259189/561410/751093/116517/322482",11
"dre00512","Metabolism","Glycan biosynthesis and metabolism","dre00512","Mucin type O-glycan biosynthesis","11/2190","39/12020",0.282051282051282,1.54806228778832,1.61806198559192,0.0840694000421675,0.140387735992746,0.068733285675763,"503760/324510/324052/564336/559736/322609/559073/555344/558716/103910015/100331984",11
"dre04216","Cellular Processes","Cell growth and death","dre04216","Ferroptosis","16/2190","62/12020",0.258064516129032,1.41640889674473,1.55155093052825,0.0866650408112906,0.143330644418673,0.0701741221144053,"406529/447823/334561/326857/58108/406286/436651/30590/399488/352928/352929/553552/431716/321844/494477/436827",16
"dre00380","Metabolism","Amino acid metabolism","dre00380","Tryptophan metabolism","14/2190","53/12020",0.264150943396226,1.44981476695098,1.5490251325857,0.0892455663213487,0.146192737212114,0.0715753915359188,"368912/494076/334197/323653/352943/445121/415103/393860/793834/100005587/100000859/571201/393315/30068",14
"dre00513","Metabolism","Glycan biosynthesis and metabolism","dre00513","Various types of N-glycan biosynthesis","14/2190","54/12020",0.259259259259259,1.42296634534077,1.47030576296025,0.101204872731455,0.16421922745104,0.080401090551305,"335985/558524/541364/334161/325561/100333987/101882461/751643/393742/777616/566527/768123/393239/266797",14
"dre01212","Metabolism","Global and overview maps","dre01212","Fatty acid metabolism","19/2190","78/12020",0.243589743589744,1.33696288490809,1.40919243066967,0.106065667340629,0.170498082080264,0.0834751931849519,"64815/368912/317738/431754/334561/393135/327417/393441/553734/445121/100150288/406283/406648/793834/100333227/100000859/110437777/394156/449816",19
"dre00220","Metabolism","Amino acid metabolism","dre00220","Arginine biosynthesis","9/2190","32/12020",0.28125,1.54366438356164,1.45348974047793,0.113511213926715,0.18077711847588,0.0885077691436378,"317737/393423/322614/406688/797748/100000775/336473/373092/447864",9
"dre03273",NA,NA,"dre03273","Virion - Lassa virus and SFTS virus","6/2190","19/12020",0.315789473684211,1.73323720259553,1.50970481628393,0.116035939899922,0.183102584062263,0.0896463079864198,"561431/286829/405902/555504/405901/494477",6
"dre01250","Metabolism","Global and overview maps","dre01250","Biosynthesis of nucleotide sugars","12/2190","46/12020",0.260869565217391,1.43180464562239,1.38492439553797,0.118670251691993,0.18555712082748,0.0908480395728176,"678540/334420/445097/613246/368229/554143/550486/322780/567861/100126013/393857/406339",12
"dre00410","Metabolism","Metabolism of other amino acids","dre00410","beta-Alanine metabolism","10/2190","37/12020",0.27027027027027,1.48340120942861,1.38996953341654,0.121929095358961,0.18616986394511,0.0911480362032363,"368912/541429/334197/492476/323653/387290/798364/793834/100005587/100000859",10
"dre03320","Organismal Systems","Endocrine system","dre03320","PPAR signaling pathway","22/2190","94/12020",0.234042553191489,1.28456232390945,1.30729436531387,0.121988564258442,0.18616986394511,0.0911480362032363,"431754/334561/378727/447944/171478/393831/553734/407736/492647/406283/445281/393543/100333227/394148/100000859/30530/30354/394156/100004274/447848/394060/553512",22
"dre00563","Metabolism","Glycan biosynthesis and metabolism","dre00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","8/2190","28/12020",0.285714285714286,1.56816699282453,1.42065515644329,0.122309271080218,0.18616986394511,0.0911480362032363,"767675/325316/100136873/100147850/570443/555496/100136853/796295",8
"dre00565","Metabolism","Lipid metabolism","dre00565","Ether lipid metabolism","14/2190","56/12020",0.25,1.37214611872146,1.3174943799531,0.12789846578516,0.192969615044277,0.0944771677083364,"406470/555969/570720/30554/335485/100148581/799278/557680/557632/406370/571938/559124/406482/767688",14
"dre00450","Metabolism","Metabolism of other amino acids","dre00450","Selenocompound metabolism","6/2190","20/12020",0.3,1.64657534246575,1.36591281441405,0.141486587042704,0.211614721489957,0.103605738795573,"559488/777719/571201/393315/101884223/378847",6
"dre00062","Metabolism","Lipid metabolism","dre00062","Fatty acid elongation","11/2190","43/12020",0.255813953488372,1.40405649357545,1.25280004349147,0.146052934945892,0.216561248368047,0.106027538980684,"368912/317738/393135/327417/393441/445121/100150288/406648/793834/791152/449816",11
"dre00260","Metabolism","Amino acid metabolism","dre00260","Glycine, serine and threonine metabolism","12/2190","48/12020",0.25,1.37214611872146,1.21935517167728,0.151001028118435,0.221984417404878,0.108682701299818,"323107/402822/403338/322228/541429/334197/550524/497183/541329/100331020/100144628/436852",12
"dre04146","Cellular Processes","Transport and catabolism","dre04146","Peroxisome","23/2190","102/12020",0.225490196078431,1.23762198943504,1.13753426919166,0.156383931521578,0.227949459506029,0.111603162548851,"492477/431754/100034578/334561/450048/394190/791455/100006589/335799/30553/554105/550422/436840/436833/541344/100000859/792998/572335/566367/794545/566378/406803/30068",23
"dre01210","Metabolism","Global and overview maps","dre01210","2-Oxocarboxylic acid metabolism","10/2190","39/12020",0.256410256410256,1.40732935253483,1.20257159749504,0.159130064104399,0.230003117865181,0.112608625637788,"569980/494076/100006589/568448/393926/554124/406688/337412/322339/797715",10
"dre04814","Cellular Processes","Cell motility","dre04814","Motor proteins","53/2190","256/12020",0.20703125,1.13630850456621,1.04050673109236,0.168430086641486,0.240579327591291,0.117786696495124,"561431/30453/436770/572690/393796/393209/393928/406681/569545/30627/393882/407638/394163/406437/541515/337084/337226/445048/795591/559562/369190/57935/386701/450006/100007502/431767/406811/445473/325449/322509/373080/402901/777640/568367/474327/406297/562188/550569/767754/100003572/100331282/563459/555290/100136875/100006612/100332329/767729/393908/100005529/792024/326719/335083/100332402",53
"dre00910","Metabolism","Energy metabolism","dre00910","Nitrogen metabolism","6/2190","21/12020",0.285714285714286,1.56816699282453,1.22996452889441,0.169244759526431,0.240579327591291,0.117786696495124,"317737/387526/100006448/100000775/336473/373092",6
"dre00514","Metabolism","Glycan biosynthesis and metabolism","dre00514","Other types of O-glycan biosynthesis","14/2190","60/12020",0.233333333333333,1.2806697108067,1.02869125675873,0.191887188808817,0.270529479304234,0.132450173465965,"503760/100003546/798087/324052/559736/567859/559073/555344/558716/556077/558337/103910015/768123/100331984",14
"dre03430","Genetic Information Processing","Replication and repair","dre03430","Mismatch repair","6/2190","22/12020",0.272727272727273,1.49688667496887,1.10101624822236,0.199046074852101,0.278340852638711,0.136274591255183,"393196/503748/65226/550504/259256/571834",6
"dre00051","Metabolism","Carbohydrate metabolism","dre00051","Fructose and mannose metabolism","11/2190","46/12020",0.239130434782609,1.31248759182053,1.00223953957553,0.204578412595881,0.283770056181384,0.138932708044741,"445097/335231/560944/613246/368229/558186/560753/550486/553452/321664/406339",11
"dre03450","Genetic Information Processing","Replication and repair","dre03450","Non-homologous end-joining","4/2190","14/12020",0.285714285714286,1.56816699282453,1.00396902649942,0.242126281614252,0.333165763501211,0.16311665287697,"386707/550274/406593/562283",4
"dre04070","Environmental Information Processing","Signal transduction","dre04070","Phosphatidylinositol signaling system","26/2190","124/12020",0.209677419354839,1.1508322286051,0.796863581242962,0.244170513570087,0.333312129635357,0.163188313162966,"368433/437018/393365/562585/406290/192322/406660/373124/336121/368217/100000252/373867/368717/449831/791142/570007/322720/404620/564478/100149388/560006/556956/562569/567938/393838/327379",26
"dre00250","Metabolism","Amino acid metabolism","dre00250","Alanine, aspartate and glutamate metabolism","11/2190","48/12020",0.229166666666667,1.25780060882801,0.84469645072736,0.248363501040925,0.336366316370386,0.164683631025893,"572027/317737/393423/394133/406688/567861/797748/100000775/336473/373092/447864",11
"dre04370","Environmental Information Processing","Signal transduction","dre04370","VEGF signaling pathway","18/2190","84/12020",0.214285714285714,1.1761252446184,0.764559542916902,0.260849070498341,0.348714296313919,0.170729153642065,"65237/327321/246227/559020/554230/30554/360144/100000252/415151/373867/793158/30681/100148581/58100/557109/565130/399480/100333254",18
"dre00650","Metabolism","Carbohydrate metabolism","dre00650","Butanoate metabolism","6/2190","24/12020",0.25,1.37214611872146,0.861351376929938,0.263563130934939,0.348714296313919,0.170729153642065,"368912/394190/445121/793834/100000859/394060",6
"dre00770","Metabolism","Metabolism of cofactors and vitamins","dre00770","Pantothenate and CoA biosynthesis","6/2190","24/12020",0.25,1.37214611872146,0.861351376929938,0.263563130934939,0.348714296313919,0.170729153642065,"562399/492476/323653/619247/447838/337412",6
"dre00052","Metabolism","Carbohydrate metabolism","dre00052","Galactose metabolism","8/2190","34/12020",0.235294117647059,1.29143164114961,0.803190364675089,0.270439002995858,0.352390216024906,0.172528869534838,"678540/334420/563180/560944/553452/436646/406339/768123",8
"dre00534","Metabolism","Glycan biosynthesis and metabolism","dre00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","8/2190","34/12020",0.235294117647059,1.29143164114961,0.803190364675089,0.270439002995858,0.352390216024906,0.172528869534838,"192334/493783/563446/798226/560951/793524/767708/497280",8
"dre00564","Metabolism","Lipid metabolism","dre00564","Glycerophospholipid metabolism","24/2190","118/12020",0.203389830508475,1.11632226607848,0.599340120576596,0.309079326010399,0.399711609577358,0.195697238471167,"553770/567414/100002812/555969/561832/570720/30554/335485/572841/406734/449663/100148581/556193/393722/799278/557680/557632/406370/571938/559124/404620/572335/767688/793137",24
"dre00730","Metabolism","Metabolism of cofactors and vitamins","dre00730","Thiamine metabolism","4/2190","16/12020",0.25,1.37214611872146,0.703056063147941,0.330931336458988,0.424777536350343,0.207969418041783,"445486/321793/541539/562714",4
"dre00592","Metabolism","Lipid metabolism","dre00592","alpha-Linolenic acid metabolism","5/2190","22/12020",0.227272727272727,1.24740556247406,0.548208591429013,0.37226837635526,0.474297486911886,0.232214191878524,"431754/30554/100148581/406370/767688",5
"dre02010","Environmental Information Processing","Membrane transport","dre02010","ABC transporters","10/2190","49/12020",0.204081632653061,1.12011928058895,0.39767199973258,0.401523321298164,0.506116374517281,0.247792594622904,"798527/368620/336147/100151075/558924/566367/100136868/323301/564344/406803",10
"dre00120","Metabolism","Lipid metabolism","dre00120","Primary bile acid biosynthesis","6/2190","28/12020",0.214285714285714,1.1761252446184,0.440386787875647,0.403127577377137,0.506116374517281,0.247792594622904,"327462/494109/445281/394148/100004274/447848",6
"dre00520","Metabolism","Carbohydrate metabolism","dre00520","Amino sugar and nucleotide sugar metabolism","10/2190","51/12020",0.196078431372549,1.07619303429134,0.257365832312197,0.454660739352357,0.566678602671053,0.277443624318753,"678540/334420/445097/613246/368229/554143/567861/100126013/393857/406339",10
