"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","GO:0009117","nucleotide metabolic process","83/4298","281/17744",0.295373665480427,1.21943004194618,2.09623514249416,0.0230858464917511,0.17928416474416,0.155435295976531,"atp5po/ak1/pfas/ppat/pgam1a/enpp1/ak2/uck2a/atp5mc3b/atp5pb/prtfdc1b/atp5l/slc25a55b/atp5pf/dhtkd1/npr1b/atp5f1d/cmpk/slc25a22a/uck2b/eno1a/nnt/idh1/pfkpa/exosc2/ctps1a/adcy8/rrm2b/atpsckmt/paics/atp5mf/eno3/adka/tpi1b/antkmt/impdh1a/atp5if1b/atp5f1c/dhodh/dtymk/aldob/dctpp1/rpia/papss1/itpa/ak3/nt5c3a/nudt2/pde9aa/parga/adpgk2/adpgk/mt-co1/atp5if1a/nppc/atp5meb/cnp/nt5e/papss2a/insrb/dnph1/adcy3a/si:ch211-140m22.7/atp5mea/fhit/pde8a/uqcc3/atp5f1e/adkb/atp5pd/ctps1b/pkma/adcy9/nme3/hk2/slc25a12/nme2b.1/hint1/mdh1ab/npr2/ampd2a/dut/park7",83
"GO:0060419","GO:0060419","heart growth","12/4298","28/17744",0.428571428571429,1.76932792661038,2.3033389722535,0.023112027969375,0.17928416474416,0.155435295976531,"ruvbl1/cacna1c/itga3b/larp7/prrx1b/cdk9/dusp6/smarca4a/prdm16/runx1/ndrg4/npr2",12
"GO:0060973","GO:0060973","cell migration involved in heart development","12/4298","28/17744",0.428571428571429,1.76932792661038,2.3033389722535,0.023112027969375,0.17928416474416,0.155435295976531,"sdc2/atp1a1a.1/slit2/fn1a/erbb2/robo1/snai1b/spns2/ednrab/pdgfra/smarca4a/glrx2",12
"GO:0072089","GO:0072089","stem cell proliferation","12/4298","28/17744",0.428571428571429,1.76932792661038,2.3033389722535,0.023112027969375,0.17928416474416,0.155435295976531,"ythdf2/rab5c/tp53/cyp27b1/slco2b1/ifi30a/ago3a/znrf3/ago3b/ccl25b/klf4/csf3a",12
"GO:0051169","GO:0051169","nuclear transport","36/4298","109/17744",0.330275229357798,1.36351876913094,2.15229865625809,0.0232899455251567,0.180193823320939,0.156223949287441,"nup155/xpo7/ddx39aa/cse1l/snupn/ltv1/nutf2l/ncbp2/thoc7/cpsf6/nkd1/eif6/mcm3ap/kpna4/nup160/sem1/htatip2/nup188/kpna2/tnpo2a/tmem53/pttg1ipb/xpo6/nutf2/sarnp/ipo13b/nxt2/rpain/eny2/lzts2a/eif4ea/xpot/tpra/hikeshi/kpnb1/sdad1",36
"GO:0016197","GO:0016197","endosomal transport","48/4298","152/17744",0.315789473684211,1.30371531434449,2.12608711384476,0.0233983317376238,0.180201475156607,0.156230583255051,"scrib/stam/chmp2bb/vps50/chmp4bb/vps35/snx3/bloc1s1/ehd1b/wdr91/tmem50a/golt1ba/arhgap1/plekhj1/aktip/vps4a/rab6bb/arl4cb/rab13/coro1ca/si:dkey-16l2.16/snx16/bloc1s2/chmp2a/vps26a/arl4ca/snf8/rab25a/vps25/heatr5b/golt1bb/inpp5f/wash1/rab8a/vps29/rab14/zgc:162698/zfyve16/lamtor1/fhip1b/eps15/wdr81/chmp1b/arl1/vps28/rab11fip4b/chmp5b/pheta2",48
"GO:0000096","GO:0000096","sulfur amino acid metabolic process","9/4298","19/17744",0.473684210526316,1.95557297151674,2.35612167264856,0.0235205229142097,0.180201475156607,0.156230583255051,"apip/gclc/bhmt/adi1/mtap/cbsa/mri1/cdo1/mtr",9
"GO:0007032","GO:0007032","endosome organization","9/4298","19/17744",0.473684210526316,1.95557297151674,2.35612167264856,0.0235205229142097,0.180201475156607,0.156230583255051,"plekhf2/plekhj1/aktip/coro1ca/usp8/sqstm1/fhip1b/plekhf1/pheta2",9
"GO:0060349","GO:0060349","bone morphogenesis","17/4298","44/17744",0.386363636363636,1.59507593383815,2.23440693311863,0.0235942018969775,0.180201475156607,0.156230583255051,"mmp14a/prdm1a/mmp14b/rap1b/atp2b1a/edn1/gja1b/notch2/ltbp1/kif5ba/piezo1/cyp26b1/tspearb/edar/wnt5b/sh3pxd2b/kat2a",17
"GO:2000146","GO:2000146","negative regulation of cell motility","17/4298","44/17744",0.386363636363636,1.59507593383815,2.23440693311863,0.0235942018969775,0.180201475156607,0.156230583255051,"anos1b/churc1/lef1/sinhcaf/cxcl12a/smad5/sulf1/arpin/tnfrsf19/cxcr4b/rtn4a/srgap1b/ccdc125/aldh1l1/ngfrb/macir/rap2b",17
"GO:0006730","GO:0006730","one-carbon metabolic process","10/4298","22/17744",0.454545454545455,1.87655992216253,2.32587710006743,0.0238167118368219,0.180508803232648,0.156497029711877,"gnmt/mat2b/mat1a/mat2aa/mthfd1b/mat2al/aldh1l1/mthfd2/shmt2/mthfs",10
"GO:0014029","GO:0014029","neural crest formation","10/4298","22/17744",0.454545454545455,1.87655992216253,2.32587710006743,0.0238167118368219,0.180508803232648,0.156497029711877,"kat6a/pef1/hsbp1b/cnbpa/tfap2a/chd7/snw1/hdac4/rgs2/bmper",10
"GO:0036342","GO:0036342","post-anal tail morphogenesis","10/4298","22/17744",0.454545454545455,1.87655992216253,2.32587710006743,0.0238167118368219,0.180508803232648,0.156497029711877,"fgfr1a/fgfr1b/cdh2/smad5/tll1/bcl9l/dvl2/rhoab/fbxo7/wnt5b",10
"GO:0006402","GO:0006402","mRNA catabolic process","46/4298","145/17744",0.317241379310345,1.30970940774378,2.11711564530874,0.0240416248184226,0.181749789657846,0.157572936736789,"igf2bp2a/cnot1/ybx1/exosc9/snd1/mrto4/nbas/igf2bp3/ythdf2/ncbp2/ythdf1/rbm8a/cnot3b/lsm4/gli2a/syncripl/exosc2/pan3/rida/exosc6/hbs1l/magoh/smg5/lsm1/edc3/pnrc2/smg1/pelo/ythdf3/lsm7/cnot10/smg7/larp1b/ago2/rc3h1a/ago3b/exosc8/fastkd2/samd4a/fastk/xrn1/qkia/exosc3/exosc7/larp1/zgc:162730",46
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","49/4298","156/17744",0.314102564102564,1.29675102313539,2.10473040085182,0.0244452141351156,0.184331805064539,0.159811485409104,"apip/pfas/gcat/gnmt/hibadhb/glud1a/ttc36/gclc/bhmt/ilvbl/pnpo/pah/adi1/gatd3/hmgcl/gstz1/ctps1a/asl/ggh/mtap/aasdhppt/aldh4a1/arg2/qdpra/got2a/hpdb/bcat1/aass/cbsa/hibch/slc7a7/gfpt1/hgd/glsl/tat/mri1/gcsha/ctps1b/cdo1/aldh18a1/glula/glulb/kyat3.1/glud1b/kyat3.2/ass1/shmt2/mtr/gcshb",49
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","78/4298","263/17744",0.296577946768061,1.22440183514483,2.0728664407435,0.0245231305963341,0.18440135883388,0.159871786946272,"dock5/rabif/arhgdig/ralgapa2/rgl1/rnd3b/rgl2/rap1b/robo4/rapgef6/rhoub/racgap1/rapgef1b/iqsec1b/rhobtb4/arhgap29b/kank2/sipa1l1/arhgap17a/arhgap1/dock4b/plekhg5a/tiam1b/gbf1/rhogd/rasgef1ba/rac2/cdc42l/shoc2/rabl3/git2b/rapgef1a/arhgdia/cdc42ep3/rhof/rhot2/ccdc125/nradd/arhgap31/radil2a/arhgap35b/sos2/garnl3/sipa1l3/cdc42ep5/dock11/arhgap35a/dennd4a/psd2/rasa3/usp8/f2rl1.1/rgl3a/arfgef2/rasip1/dock10/ralgapa1/f2rl1.2/si:zfos-588f8.1/cdc42ep1a/arhgap19/stambpb/rap1ab/tiam2a/ngfra/ralgapb/ngfrb/arhgap20/rhobtb2b/rhoab/dock1/sos1/arfgap1/plekhg5b/rap2b/spry1/psd3l/zmp:0000001200",78
"GO:0051276","GO:0051276","chromosome organization","64/4298","211/17744",0.303317535545024,1.25222576796438,2.08378420927844,0.0245785722309716,0.18440135883388,0.159871786946272,"kifc1/nup155/nusap1/sycp1/bccip/ncapd2/zgc:86764/prc1b/ppp2r1ba/kif18a/esco2/racgap1/tubg1/top2a/trip13/ppp2r1bb/si:dkey-261m9.12/histh1l1/banf1/ptges3a/aurkb/h1-0/smc4/ttk/cdca8/ufm1/cenpp/dlgap5/si:ch211-113a14.24/si:ch211-113a14.18/ccnb1/h1-10/cdc27/zgc:110425/ncapg2/chtf8/nhp2/ska3/ctc1/h1l1/prkdc/si:dkey-108k21.10/anapc1/gar1/si:ch211-199g17.9/bub1/top1b/cenpx/ptges3b/mzt1/zgc:153405/ten1/nipbla/pds5b/axin2/anapc11/uchl5/nop10/si:dkey-23a13.17/histh1l2/si:ch73-368j24.11/si:dkey-23a13.9/si:ch73-368j24.12/ska2",64
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","33/4298","99/17744",0.333333333333333,1.37614394291919,2.1218321085492,0.0253295384879777,0.189304611697439,0.16412279573549,"adam8a/zgc:153911/cd276/tenm3/ambra1a/ythdf2/acvr1l/b2ml/zeb1a/mhc2daa/lgals9l3/mhc2d8.45b1/prnpb/fam49bb/snai1b/il15/htt/b2m/f2r/mecom/tet3/zgc:153759/zgc:153631/mhc2bl/ifngr1/mhc2d8.46a/brd4/akna/runx1/si:dkey-192g7.3/mhc2d8.35b2/cxcl8a/mhc2dhb",33
"GO:0140694","GO:0140694","membraneless organelle assembly","72/4298","241/17744",0.298755186721992,1.23339042186948,2.06245975234317,0.0253595541755574,0.189304611697439,0.16412279573549,"kifc1/cnot1/plk4/bccip/zgc:86764/naca/prc1b/csnk1db/mrto4/ppp2r1ba/mdn1/smyd1a/chchd10/atxn2l/csrp2/itga3b/ythdf2/racgap1/rpl5b/megf10/flncb/rpl5a/eif6/rps27.1/lsm4/tpm4a/bscl2l/erbb2/sbds/rps19/pan3/mef2aa/ppp2r1bb/rps28/mgat1b/rps14/haus2/pwp2h/cxcl12a/aurkb/myl9a/c1qbp/cbfb/cetn4/mapre1a/rps5/abt1/rpf2/dlgap5/cct5/mdm1/edc3/rps27.2/mpv17l2/nip7/tnnt3b/rps15/g3bp2b/lzts2a/alms1/mterf4/cenpx/lsm3/mzt1/qkia/mapre2/nop53/rps27l/tln1/mrps7/itgb1b/ccdc69",72
"GO:0006401","GO:0006401","RNA catabolic process","50/4298","160/17744",0.3125,1.29013494648674,2.08425750750856,0.0254867316411005,0.189777142119573,0.164532468871582,"igf2bp2a/cnot1/ybx1/exosc9/snd1/mrto4/nbas/igf2bp3/fen1/mtrex/wdr82/ythdf2/ncbp2/ythdf1/rbm8a/zcchc17/cnot3b/lsm4/gli2a/syncripl/exosc2/pan3/rida/exosc6/hbs1l/magoh/smg5/lsm1/edc3/pnrc2/smg1/pelo/ythdf3/lsm7/cnot10/smg7/larp1b/ago2/rc3h1a/ago3b/exosc8/fastkd2/samd4a/fastk/xrn1/qkia/exosc3/exosc7/larp1/zgc:162730",50
"GO:0007015","GO:0007015","actin filament organization","80/4298","271/17744",0.29520295202952,1.21872526310186,2.05139849699311,0.0256438230173695,0.190469495461512,0.165132723482903,"myh9b/ppm1f/fam49a/rnd3b/dbnla/arpc1a/smyd1a/ssh1b/ppp1r12a/pfn2a/itgb5/rhoub/cfl1l/cfl2/wasa/cap1/rhobtb4/vaspb/zgc:158689/kank2/msrb2/arpc5b/tpm4a/msrb1a/ppm1e/cotl1/arpc1b/rhogd/si:dkey-40c11.2/tagln2/arpc5lb/coro1ca/marcksl1b/hax1/rac2/cdc42l/arpin/brk1/myo6a/cyfip1/gsnb/cct5/fam49bb/cdc42ep3/sptbn2/arpc4/rhof/capza1b/arpc3/sdc4/cdc42ep5/wasf3b/hip1/wash1/actr2b/abitram/arpc2/tmsb4x/gas2l1/ppp1r9ba/cdc42ep1a/si:ch211-203d1.3/shroom4/tpm1/pfn1/actr3/rflnb/rhoab/mical3a/iqgap3/elmo1/ssh2b/capgb/vaspa/fhdc2/capzb/scinla/sptbn1/limk1a/tmsb1",80
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","19/4298","51/17744",0.372549019607843,1.53804323032144,2.17546298936954,0.0258265550222509,0.190872375550018,0.165482011362786,"psme1/lats1/rb1/ambra1a/psme3/ccng2/kank2/pla2g4aa/cdkn1ba/psme2/plk3/ccnb1/cdkn1bb/cdk6/ccnjl/cdk4/ccne2/ccnd1/ccnf",19
"GO:0048821","GO:0048821","erythrocyte development","19/4298","51/17744",0.372549019607843,1.53804323032144,2.17546298936954,0.0258265550222509,0.190872375550018,0.165482011362786,"fech/kmt2a/rps9/fer/klf3/sec23b/sfxn1/slc48a1b/rpl18/rps19/melk/tp53/rps14/rps29/rpl11/bdh2/eif1axb/akap10/hmgcs1",19
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","41/4298","128/17744",0.3203125,1.32238832014891,2.06957329468625,0.0272072759376828,0.199584670992168,0.173035373493892,"atp5po/ak1/pfas/ppat/ak2/atp5mc3b/atp5pb/prtfdc1b/atp5l/atp5pf/npr1b/atp5f1d/adcy8/atpsckmt/paics/atp5mf/adka/antkmt/impdh1a/atp5if1b/atp5f1c/papss1/ak3/nudt2/mt-co1/atp5if1a/nppc/atp5meb/papss2a/adcy3a/si:ch211-140m22.7/atp5mea/uqcc3/atp5f1e/adkb/atp5pd/adcy9/nme3/nme2b.1/npr2/ampd2a",41
"GO:0006260","GO:0006260","DNA replication","41/4298","128/17744",0.3203125,1.32238832014891,2.06957329468625,0.0272072759376828,0.199584670992168,0.173035373493892,"gins2/rpa3/polb/gins1/pole3/fen1/zgc:110269/pole4/sulf2b/rfc2/esco2/rbbp7/carm1/dtl/mcm3/igfbp2b/gmnn/tipin/tatdn1/rpa2/ssbp1/rtf2/chrac1/nfic/nfixa/kin/igfbp2a/rfc3/e2f8/nfixb/chaf1a/nfia/chtf8/ctc1/polg2/pold4/supt16h/dbf4b/cenpx/twnk/mcm7",41
"GO:0048732","GO:0048732","gland development","79/4298","268/17744",0.294776119402985,1.21696311370092,2.02340333890244,0.0273235833383228,0.199584670992168,0.173035373493892,"rpl3/rab23/tcf7l2/ptgs2a/gpr22a/irf2bp2a/grna/nav3/itga5/fam49a/lrp5/wdr55/ppdpfa/atp6ap2/tnfa/ppp1r12a/fgfr1a/foxn1/pck1/tnfb/ctnnb1/acvr1l/sema3d/dhrs9/gpc1a/mtch2/fn1a/gli2b/sec31a/stat3/socs3a/gli2a/extl3/sbds/jag1a/pkd1a/mpi/fgf10a/rarga/xbp1/gmnn/cebpa/aplnrb/myo1d/rcl1/epcam/prickle1a/notch2/disp1/tomm22/dkk1b/notch3/arf6b/id2a/foxc1b/e2f8/fgfr2/apc/kremen1/duox/srebf1/gfer/cdipt/met/lnx2b/abcd1/chd7/nckap1l/ahctf1/il7r/selenoh/rbp4/nrp1a/nup54/notch1a/cep128/med12/kdrl/trib1",79
"GO:0016485","GO:0016485","protein processing","28/4298","82/17744",0.341463414634146,1.40970842933185,2.10238410090732,0.0273412861305326,0.199584670992168,0.173035373493892,"mmp14a/pcsk1/immp2l/ddi2/caspa/mmp14b/sec11a/pmpcb/sppl3/bmp1a/serpine2/tll1/pmm2/lgmn/spcs2/immp1l/cpda/serpine1/spcs1/adamts3/phex/furina/tmem208/chac1/tysnd1/runx1/spcs3/ndr2",28
"GO:0070121","GO:0070121","Kupffer's vesicle development","28/4298","82/17744",0.341463414634146,1.40970842933185,2.10238410090732,0.0273412861305326,0.199584670992168,0.173035373493892,"sdc2/cnpy1/gpr22a/itgav/rfx2/pkd2/nkd1/fibpb/tead1a/arl6/gmnn/dnmt3bb.1/myo1d/prickle2b/prickle1a/gja1b/cxcr4b/unc119a2/atp6v1f/wwtr1/vgll4l/jupa/bbip1/tead3a/macir/ier2a/lpar3/itgb1b",28
"GO:0051094","GO:0051094","positive regulation of developmental process","72/4298","242/17744",0.297520661157025,1.22829376723365,2.02165980465562,0.027746353906988,0.202045140827601,0.175168544918471,"mapk14a/prdm1a/nudt21/plxnb2a.1/grna/dbnla/ambra1a/myog/tnfa/myd88/fgfr1a/itga3b/ccm2/robo2/megf10/kdr/carm1/tncb/stat3/ccn1/grnb/tiam1b/numb/tesca/cntfr/jag1a/tescb/lef1/si:dkey-40c11.2/plxnb3/aplnrb/edn1/cxcl12a/runx2a/rack1/nr2c2/ccn2a/impact/sox9b/loxl2a/loxl2b/egfl6/csf3r/bloc1s2/si:ch211-204c21.1/mffa/ccn4a/lgals2a/llph/runx2b/erf/h2az2a/serpinf1/mydgf/itgb1a/chd7/stab1/gdpd5b/gdpd5a/brd4/dlx2a/runx1/pithd1/il1b/elmo1/lpar3/csf3a/wnt5b/csf1ra/notch1a/aamdc/kdrl",72
"GO:0016126","GO:0016126","sterol biosynthetic process","14/4298","35/17744",0.4,1.65137273150302,2.18080460365541,0.0280552413862533,0.203297858923313,0.176254623035075,"mvk/tm7sf2/cyp51/sc5d/ch25h/ebp/cyb5r2/hmgcra/msmo1/prkaa2/sqlea/hsd17b7/mvda/hmgcs1",14
"GO:0062197","GO:0062197","cellular response to chemical stress","14/4298","35/17744",0.4,1.65137273150302,2.18080460365541,0.0280552413862533,0.203297858923313,0.176254623035075,"sirt2/prdx2/msraa/romo1/sod2/nfe2l2a/sod1/prdx5/prdx1/keap1b/sod3b/cygb1/glrx2/park7",14
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","48/4298","154/17744",0.311688311688312,1.28678394662573,2.02084245006551,0.0294317582651533,0.2102256349378,0.182260847381813,"hsd17b8/tle3a/apip/elovl6/ptgs2a/ptgs2b/bhmt/ndufab1b/hsd17b12a/hacd3/ilvbl/pah/adi1/lias/scdb/lipg/lef1/asl/mtap/ptges3a/aasdhppt/elovl6l/bcat1/aass/cbsa/alox5ap/ndufab1a/olah/apc/ptgis/acacb/glsl/ptgesl/cyp7a1/mgst2/mri1/lpla/ptges3b/rgn/aclya/aldh18a1/glula/elovl1a/glulb/ass1/shmt2/mtr/park7",48
"GO:0006879","GO:0006879","intracellular iron ion homeostasis","13/4298","32/17744",0.40625,1.67717543043276,2.16766696095911,0.0295341223183439,0.2102256349378,0.182260847381813,"fth1b/fth1a/zgc:56095/iscub/fthl27/ccdc115/htt/cyb561a3a/atp6v0d1/cisd1/fthl31/tfr1a/zgc:112271",13
"GO:0030277","GO:0030277","maintenance of gastrointestinal epithelium","6/4298","11/17744",0.545454545454545,2.25187190659503,2.34809307340204,0.0295440094098954,0.2102256349378,0.182260847381813,"tcf7l2/tnfa/tp53/mllt10/dot1l/cdipt",6
"GO:0046185","GO:0046185","aldehyde catabolic process","6/4298","11/17744",0.545454545454545,2.25187190659503,2.34809307340204,0.0295440094098954,0.2102256349378,0.182260847381813,"esd/adh8b/hagh/akr1a1b/adh5/adh8a",6
"GO:0061383","GO:0061383","trabecula morphogenesis","6/4298","11/17744",0.545454545454545,2.25187190659503,2.34809307340204,0.0295440094098954,0.2102256349378,0.182260847381813,"npnta/erbb2/rbx1/kdm6bb/wwtr1/mstnb",6
"GO:0061384","GO:0061384","heart trabecula morphogenesis","6/4298","11/17744",0.545454545454545,2.25187190659503,2.34809307340204,0.0295440094098954,0.2102256349378,0.182260847381813,"npnta/erbb2/rbx1/kdm6bb/wwtr1/mstnb",6
"GO:0072350","GO:0072350","tricarboxylic acid metabolic process","6/4298","11/17744",0.545454545454545,2.25187190659503,2.34809307340204,0.0295440094098954,0.2102256349378,0.182260847381813,"idh1/aco1/idh3a/aclya/ass1/cs",6
"GO:0006081","GO:0006081","aldehyde metabolic process","17/4298","45/17744",0.377777777777778,1.55962980197508,2.12511728922369,0.0295773528791654,0.2102256349378,0.182260847381813,"pnpo/dhrs9/esd/adh8b/hagh/idh1/bco2l/aldh3a2a/hyi/tpi1b/bco2b/akr1a1b/rpia/aldh9a1a.1/adh5/adh8a/park7",17
"GO:0010038","GO:0010038","response to metal ion","22/4298","62/17744",0.354838709677419,1.46492742310752,2.07331597149956,0.0307138388279382,0.216279437392611,0.187509356516402,"tcf7l2/cpne2/slc25a24/pkd2/baxa/adgrv1/abcb5/gadd45ba/sod2/jun/sod1/sumo1/entpd1/crip1/mt-co1/atp6v0d1/cox17/nt5e/cygb1/slc39a3/cpne4b/cat",22
"GO:0001841","GO:0001841","neural tube formation","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"scrib/pals1a/zic2a/vaspb/cdh2/pcdh19/mdka/dlx5a/htt/arhgef19/vaspa/neo1a",12
"GO:0006383","GO:0006383","transcription by RNA polymerase III","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"snapc1b/polr3f/polr2eb/polr2f/polr1d/polr3k/gtf3c3/gtf3c6/polr2l/crcp/snapc3/polr3h",12
"GO:0008299","GO:0008299","isoprenoid biosynthetic process","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"tle3a/mvk/pdss2/pdss1/lef1/dhdds/fdps/srd5a3/hmgcra/apc/mvda/hmgcs1",12
"GO:0009620","GO:0009620","response to fungus","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"jagn1b/rac2/cyp51/cebpb/sc5d/cyb5r2/duox/hip1/ccny/nsdhl/limk1a/hspa5",12
"GO:0030199","GO:0030199","collagen fibril organization","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"loxa/plod2/col1a1a/p4ha1a/loxl2a/loxl2b/dpt/cpamd8/ltbp1/colgalt1b/plod1a/plod3",12
"GO:0042476","GO:0042476","odontogenesis","12/4298","29/17744",0.413793103448276,1.70831661879623,2.1582712743955,0.0309386606838976,0.216279437392611,0.187509356516402,"atp2b1a/acvr1l/wnt10a/cdh2/gli2a/eda/cyp26b1/scpp5/tspearb/fam20cb/trrap/csf1ra",12
"GO:2000147","GO:2000147","positive regulation of cell motility","34/4298","104/17744",0.326923076923077,1.34967963632459,2.02203141866534,0.0311378500193805,0.217160921144553,0.188273582894549,"adam8a/sema3b/kdr/sema3d/shtn2/ccdc25/ccn1/nrp1b/asap1a/abl1/sema3e/sema6ba/cxcl12a/rac2/socs1a/plcg1/si:dkey-49n23.1/sema3ab/phpt1/egfl6/cd99/sema5a/sema5ba/elp5/zgc:153759/zgc:153631/sema5bb/sema4c/cfap20/nrp1a/sema6a/csf1ra/gnb1b/kdrl",34
"GO:0030336","GO:0030336","negative regulation of cell migration","16/4298","42/17744",0.380952380952381,1.57273593476479,2.10096147061888,0.0316077819851184,0.218896783864305,0.189778536419052,"anos1b/churc1/lef1/sinhcaf/cxcl12a/smad5/sulf1/arpin/tnfrsf19/cxcr4b/rtn4a/srgap1b/aldh1l1/ngfrb/macir/rap2b",16
"GO:0071806","GO:0071806","protein transmembrane transport","16/4298","42/17744",0.380952380952381,1.57273593476479,2.10096147061888,0.0316077819851184,0.218896783864305,0.189778536419052,"grpel1/sec61g/tram1/sec61a1a/timm17a/chchd4a/romo1/chchd4b/dnajc19/tomm7/dnlz/pex6/timm23a/timm21/pam16/tomm20b",16
"GO:0170036","GO:0170036","import into the mitochondrion","16/4298","42/17744",0.380952380952381,1.57273593476479,2.10096147061888,0.0316077819851184,0.218896783864305,0.189778536419052,"micu2/grpel1/mcur1/sfxn1/timm17a/romo1/slc25a33/dnajc19/slc25a28/tomm7/dnlz/timm23a/timm21/smdt1b/pam16/tomm20b",16
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","11/4298","26/17744",0.423076923076923,1.74664423524358,2.15398770500775,0.0321950606558608,0.220223727178167,0.190928966112765,"arpc1a/arpc5b/arpc1b/arpc5lb/arpc4/arpc3/wasf3b/wash1/actr2b/arpc2/actr3",11
"GO:0035118","GO:0035118","embryonic pectoral fin morphogenesis","11/4298","26/17744",0.423076923076923,1.74664423524358,2.15398770500775,0.0321950606558608,0.220223727178167,0.190928966112765,"prdm1a/cdh2/extl3/fgf10a/sox9b/sp8b/apc/pi4kaa/nipbla/sp9/med12",11
"GO:0045324","GO:0045324","late endosome to vacuole transport","11/4298","26/17744",0.423076923076923,1.74664423524358,2.15398770500775,0.0321950606558608,0.220223727178167,0.190928966112765,"stam/chmp2bb/chmp4bb/tmem50a/chmp2a/snf8/vps25/pik3r4/chmp1b/vps28/chmp5b",11
"GO:0000097","GO:0000097","sulfur amino acid biosynthetic process","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"apip/bhmt/adi1/mtap/cbsa/mri1/mtr",7
"GO:0042771","GO:0042771","intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"cd74a/tp53/cd74b/phlda3/hipk2/si:dkey-9i23.15/si:dkey-74k8.3",7
"GO:0046033","GO:0046033","AMP metabolic process","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"ak1/ak2/adka/ak3/nudt2/nt5e/adkb",7
"GO:0048670","GO:0048670","regulation of collateral sprouting","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"mapk14a/plxna3/pard3ab/robo2/epha4a/ulk1b/ulk2",7
"GO:0098508","GO:0098508","endothelial to hematopoietic transition","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"ythdf2/f2r/mecom/tet3/ifngr1/runx1/cxcl8a",7
"GO:1901534","GO:1901534","positive regulation of hematopoietic progenitor cell differentiation","7/4298","14/17744",0.5,2.06421591437878,2.25210988885176,0.032466507069686,0.220223727178167,0.190928966112765,"nudt21/tnfa/myd88/jag1a/csf3r/bloc1s2/il1b",7
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","68/4298","229/17744",0.296943231441048,1.22590988801535,1.94535152170059,0.0329474311559863,0.220482788354571,0.19115356626464,"stmn1a/atat1/plk4/ppm1f/fam49a/rnd3b/dbnla/ssh1b/pfn2a/itga3b/wasa/gsk3ab/rhobtb4/vaspb/zgc:158689/mid1ip1l/kank2/arpc5b/arhgap17a/ppm1e/cotl1/rhogd/si:dkey-40c11.2/stmn1b/arpc5lb/mgat1b/hax1/rac2/naa20/arpin/brk1/mapre1a/cyfip1/gsnb/fam49bb/mdm1/cdc42ep3/sptbn2/rhof/capza1b/arpc3/apc/map1b/mid1/atrn/cdc42ep5/wasf3b/ska3/abitram/arap3/tpx2/gas2l1/arhgef19/cdc42ep1a/si:ch211-203d1.3/zgc:162200/pfn1/rhoab/ssh2b/capgb/vaspa/mapre2/capzb/scinla/sptbn1/limk1a/ccnf/ska2",68
"GO:0006913","GO:0006913","nucleocytoplasmic transport","35/4298","108/17744",0.324074074074074,1.33791772228254,1.99146638555752,0.0330133718687402,0.220482788354571,0.19115356626464,"nup155/ddx39aa/cse1l/snupn/ltv1/nutf2l/ncbp2/thoc7/cpsf6/nkd1/eif6/mcm3ap/kpna4/nup160/sem1/htatip2/nup188/kpna2/tnpo2a/tmem53/pttg1ipb/xpo6/nutf2/sarnp/ipo13b/nxt2/rpain/eny2/lzts2a/eif4ea/xpot/tpra/hikeshi/kpnb1/sdad1",35
